id,text,polite
1331,Try to add an `import pycuda` line at the top of your script. Does it help?,1
196858,"Hello, our project has begun to fall a little bit behind the collaboration/organization department, would you, as an experienced editor be willing to help us revamp how we deal with issues? The template is a little behind because of this, but it points to some good places:) Do you have anything in particular you would like to do with us?",1
25622,Picking up your challenge. You a big fan of skittles or something?,0
4161,"@Herbert: Still I think your answer is very confusing. Can you please make it clearer that you're suggesting two completely different solutions, and indicate what is needed to make them work?",1
526013,Thanks for continuing to look over the article.  Do you know or do you know anyone that knows anything about the <url> or the <url>?,1
413628,"Hello, sorry I probably should have asked first, but I thought it might be a good idea to nominate one of the images you uploaded, <url>, for featured picture. I hope you don't mind me taking the liberty, as it were?",1
1722,it just goes to update.php?  nothing after ?,0
6263,What are you trying to say? You want a Registry Editor?,1
109909,"Someone has Blocked the whole Opera mini Browser, as you know even i use my Mobile-Opera for editing. can you please help?",1
6388,I gotta ask...why would you replace your speaker wire once a year?,0
135334,"In your most recent edit to <url> you stated that the track in Clermont, Florida does not fulfill IAAF regulations (since reverted by another editor).  On what grounds does it not and do you have a source for that remark?",0
571994,"lol thanks. so, australia, huh?",1
4739,"You could specify whether you need an introduction on applied statistics, or one on (theoretical) statistical inference. I.e., do you want the framework of testing, regression and ANOVA explained or do you want to know what the central limit theorem and the inequality of Chebiyshev have to do with the weak law of large numbers?",0
555122,"That sounds fine. When does the drive end: at the start of August 13 or at the end, and according to which timezone?",1
2841,"""think I've pointed out something that is not yet satisfactorily proven""?  What have you pointed out that's not proven formally?",0
6472,"When you say ""cover the chicken"", specifically how and with what do you do that?",0
3360,Could you please elaborate for me? (RDB are not my strongest suit so forgive my ignorance) How can I normalize when there is only one table and no relationships?,1
573401,"MONGO, today you speedied this article as a non notable character.  Surely you know the non notable speedy criteria is for real people, not characters?",0
600770,He's still got the youtube link on there even after your reversion. How does once vs. 25 times or so make any difference?,0
1268,"Not sure what you are referring to when you say you need an SQL query builder for ""Python"". Do you mean to say you need an ORM like SQLAlchemy (http://www.sqlalchemy.org/) to connect with databases without having to write SQL statements yourself?",1
2128,Terrible question title. I don't know enough about graphs to generate a better one - any suggestions?,0
2987,"I'm sorry, but I do feel that this is *way* off-topic for a [programming/scripting website](http://stackoverflow.com/faq/). Perhaps [Super User](http://superuser.com/) might be a better fit; or [Doctype](http://doctype.com/)?",1
2012,"Do you always start from 0,0 (or the bottom-left-most point)?  Or can you start from any point?",1
620600,I'm not sure what you are asking here. Admins cannot check IPs but why would you even want the same IP that would be foolish wouldn't it?,0
4239,"This post says some things about ""ownership"" and ""GIS"" and ""land"" but there's no recognizable, unambiguous question.  Could you please clarify and repost?",0
13,"You want to compress strings from argv, really?  Or do you mean you want to treat argv's elements as names of files to compress, like gzip the program does?",0
1171,"I confess, no. What's exactly to be read in the docs you are referring to?",1
4547,I hope I've translated this okay; please check it. Also I'm guessing your version of Ubuntu is 10.10 (as opposed to 10.04)?,1
619733,Thank you for your answer about Illustrator.  How does Adobe Illustrator compare with InDesign?,1
159734,I'm currently considering nominating you for adminship at <url>. Are you interested?,1
5220,We don't have master switches for stoves in the US. Could you explain how this works?,1
306049,What page is this? Why was it deleted?,0
5776,"You're talking about computing the coefficients of the polynomial, right?  Is this equivalent to computing the product of $\sqrt{n}$ $\sqrt{n}$-bit integers in time $\tilde O(n \log n)$ (where $\tilde O$ hides sub-logarithmic factors)?",0
544878,Welcome to wikipedia? Does <url> and <url> look like unreferenced uselessness to you?,0
942,You would be changing the semantics of the underlying language if you could do that - not usually a good idea. Maybe you'd be happier with a completely different programming language that has semantics for int/float expressions which are more to your taste ?,1
28387,"Sovereignty is something a thing, in this case Japan, possesses, hence the apostrophe. So what's the problem?",0
335369,I just noticed you've added me as a sock puppet for Blue Sea? Can I ask what led you to this conclusion?,0
564956,Noticed your comments on the <url> talk page. What bands/styles are you into?,1
1831,"Thanks for the advice. Quick question, is the efficiency gain in both the where and sum methods?",1
6356,"As a side-question, how do you prevent the kefir from developing little tiny, useless curds, and instead evenly thickening into something like yogurt?",0
27642,"Since your tube station articles don't actually contain any information, what is the point of them? Why not put them together and work them into an article that says something interesting?",0
71772,"With all due respect, that is going to take ages. How can one create a 'Bot' to do all this for me for <url>, <url>, <url>, <url> and <url>?",1
330517,"Hi, it looks like the en/em distinction is being preserved. What do you see as the advantage of changing the way they're currently written?",1
3527,Complexity of what? Time complexity of some operation?,0
427,"""Everything works except I can't register ANY mouseup/down events."" Do you get an error, or does it just not work?",1
1486,no.. there is no viewForSection method. What images are you referring to?,0
556495,"It's not too long, certainly; but the extended quote does look a bit out of place there.  Perhaps it would be possible to move the bulk of the quote into the body of the article and leave a short phrase or two that could be inline with the second paragraph?",1
5641,Open a console and run `badblocks` as well as `fsck.ext4`. Do those programs report errors?,0
191008,"I read the diff upside down or something... Glad someone is keeping an eye on me :) I'm mainly doing stuff over here <url> these days, what are you up to currently? Still concentrating on the Ui Imair?",1
4770,"I guess this could lead to another set of advertising answers. There are a good range of vendors providing high quality services in this industry, but you might want to update your question with region, country etc?",0
623925,"My graphics editing skills aren't up to the creation of a map such as this from scratch, but I could probably do an adequate job of removing the red and orange lines and the related entries in the map legend. Would it be useful for me to take a whack at that?",1
881,"Can you post some code? You can have a map of maps like `std::map<Key1, std::map<Key2, Val>>`, can you use that to describe your situation?",1
4266,I let it accepted for the computation but it seems the link is not the good one as they're not talking about levels in this thread. Could you check please?,1
624339,Doing it under the guidance of the relevant <url> would be a good idea as the folks that are active in the project will be best placed to advise on which templates and styles fit in with the rest of the project. What is the page/subject you are working on?,1
83791,Why are you uploading/changing badge files here? Surely you should just upload them to Commons then list the wikipedia version for deletion?,0
487414,"I have noticed that your objection to someone who unilaterally stops a straw poll. What, then, do you think of somebody who unilaterally ''starts'' a straw poll?",0
204288,You seem to have an agenda of denying that some of the ancients were pedophiles. Why?,0
548991,And what about <person>? Does it need fixed now too?,0
2368,Have you tried running with breakpoints on?  Have you tried enabling NSZombies?,1
